POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
109-13260,-,0,Grey,SS,N,N,SFMTA,ON,0,1326,09TH AVE,432000,Area 3, ,"(37.763333, -122.466182)"
109-13380,-,0,Grey,SS,N,N,SFMTA,ON,0,1338,09TH AVE,432000,Area 3, ,"(37.763103, -122.466166)"
365-06070,-,0,Grey,SS,N,N,SFMTA,ON,0,607,CORTLAND AVE,4427000,Area 3, ,"(37.739032, -122.415633)"
365-07040,-,0,Grey,SS,N,N,SFMTA,ON,0,704,CORTLAND AVE,4428000,Area 3, ,"(37.738854, -122.414942)"
841-00240,841-00002,24,Grey,MS,N,N,PORT,ON,0,24,GREEN ST,6438001,Port 6, ,"(37.800717, -122.399889)"
109-03400,-,0,Grey,SS,N,Y,SFMTA,ON,0,340,09TH AVE,425000,Area 3, ,"(37.782065, -122.467506)"
120-12970,-,0,Grey,SS,N,N,SFMTA,ON,0,1297,20TH AVE,1005000,Area 3, ,"(37.763685, -122.478302)"
357-07020,-,0,Grey,SS,N,N,SFMTA,ON,0,702,CHENERY ST,3927000,Area 3, ,"(37.734567, -122.434079)"
383-28140,-,0,Grey,SS,N,N,SFMTA,ON,0,2814,DIAMOND ST,4771000,Area 3, ,"(37.734077, -122.434071)"
383-28150,-,0,Grey,SS,N,N,SFMTA,ON,0,2815,DIAMOND ST,4771000,Area 3, ,"(37.734063, -122.433912)"
360-07010,-,0,Grey,SS,N,Y,SFMTA,ON,0,701,CLEMENT ST,4157000,Area 3, ,"(37.782769, -122.466697)"
650-36390,-,0,Yellow,SS,N,N,SFMTA,ON,0,3639,SACRAMENTO ST,11268000,Area 3, ,"(37.787314, -122.453415)"
490-21220,-,0,Grey,SS,N,N,SFMTA,ON,0,2122,IRVING ST,7299000,Area 3, ,"(37.763455, -122.481177)"
545-00570,-,0,Grey,SS,N,N,SFMTA,ON,0,57,LELAND AVE,8293000,Area 3, ,"(37.711661, -122.405074)"
440-27290,-,0,Grey,SS,N,N,SFMTA,ON,0,2729,GEARY BLVD,6047101,Area 3, ,"(37.782129, -122.448842)"
440-28130,-,0,Grey,SS,N,N,SFMTA,ON,0,2813,GEARY BLVD,6047102,Area 3, ,"(37.782081, -122.449284)"
440-28140,-,0,Grey,SS,N,N,SFMTA,ON,0,2814,GEARY BLVD,6047203,Area 3, ,"(37.782306, -122.449679)"
490-22270,-,0,Grey,SS,N,N,SFMTA,ON,0,2227,IRVING ST,7300000,Area 3, ,"(37.763279, -122.482052)"
613-06620,-,0,Grey,SS,N,N,SFMTA,ON,0,662,PORTOLA DR,10615102,Area 3, ,"(37.744872, -122.45267)"
360-07140,-,0,Grey,SS,N,Y,SFMTA,ON,0,714,CLEMENT ST,4157000,Area 3, ,"(37.782896, -122.467161)"
360-08070,-,0,Grey,SS,N,Y,SFMTA,ON,0,807,CLEMENT ST,4158000,Area 3, ,"(37.782714, -122.467901)"
121-12980,-,0,Grey,SS,N,N,SFMTA,ON,0,1298,21ST AVE,1079000,Area 3, ,"(37.763633, -122.479209)"
124-13010,-,0,Grey,SS,N,N,SFMTA,ON,0,1301,24TH AVE,1299000,Area 3, ,"(37.763176, -122.482562)"
666-11300,-,0,Yellow,SS,N,N,SFMTA,ON,0,1130,SUTTER ST,12329000,Area 3, ,"(37.78792, -122.419321)"
440-34090,-,0,Green,SS,N,N,SFMTA,ON,0,3409,GEARY BLVD,6054101,Area 3, ,"(37.781272, -122.455647)"
440-17410,-,0,Grey,SS,Y,Y,SFMTA,ON,0,1741,GEARY BLVD,6041102,Area 5,Fillmore,"(37.78421, -122.432477)"
214-03200,-,0,Grey,SS,N,N,SFMTA,ON,0,320,14TH ST,586000,Area 3, ,"(37.768275, -122.420876)"
211-02050,-,0,Grey,SS,N,N,SFMTA,ON,0,205,11TH ST,512000,Area 3, ,"(37.772973, -122.415271)"
211-02250,-,0,Grey,SS,N,N,SFMTA,ON,0,225,11TH ST,513000,Area 3, ,"(37.772636, -122.414849)"
327-07210,-,0,Grey,SS,N,N,SFMTA,ON,0,721,BROADWAY,3155000,Area 3, ,"(37.79745, -122.409383)"
411-02420,411-02004,42,Grey,MS,Y,Y,SFMTA,ON,0,242,FELL ST,5441000,Area 5,Civic Center,"(37.776044, -122.422584)"
443-03260,-,0,Grey,SS,Y,Y,SFMTA,ON,0,326,GOUGH ST,6318000,Area 5,Civic Center,"(37.77661, -122.422839)"
415-12080,-,0,Grey,SS,Y,Y,SFMTA,ON,0,1208,FILLMORE ST,5543000,Area 5,Fillmore,"(37.78079, -122.432132)"
211-02560,-,0,Grey,SS,N,N,SFMTA,ON,0,256,11TH ST,514000,Area 3, ,"(37.771895, -122.414213)"
331-08650,-,0,Green,SS,N,N,SFMTA,ON,0,865,BRYANT ST,3292000,Area 3, ,"(37.774561, -122.404235)"
363-04120,-,0,Grey,SS,N,N,SFMTA,ON,0,412,COLUMBUS AVE,4294000,Area 3, ,"(37.799007, -122.40816)"
415-21020,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2102,FILLMORE ST,5553000,Area 5,Fillmore,"(37.789079, -122.433807)"
336-12360,-,0,Grey,SS,N,N,SFMTA,ON,0,1236,BUSH ST,3442000,Area 3, ,"(37.789031, -122.418171)"
336-13380,-,0,Grey,SS,N,N,SFMTA,ON,0,1338,BUSH ST,3443000,Area 3, ,"(37.788813, -122.419889)"
666-20290,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2029,SUTTER ST,12339000,Area 5,Fillmore,"(37.785919, -122.43416)"
549-22030,-,0,Grey,SS,Y,Y,SFMTA,ON,0,2203,LOMBARD ST,8461101,Area 5,Marina,"(37.799498, -122.437888)"
350-14400,-,0,Grey,SS,N,N,SFMTA,ON,0,1440,CALIFORNIA ST,3547000,Area 3, ,"(37.790908, -122.418715)"
401-07110,-,0,Grey,SS,N,N,SFMTA,ON,0,711,ELLIS ST,5178000,Area 3, ,"(37.784121, -122.418212)"
